owner,name,language,stargazers_count,commit_count,branch_count,release_count,open_issues_count,contributor_count,forks_count,license,created_at,pushed_at,updated_at
FreeCodeCamp,FreeCodeCamp,JavaScript,190672,9,20,505,220,0,7344,Other,2014-12-24T17:49:19Z,2016-11-03T17:42:35Z,2016-11-03T20:02:55Z
twbs,bootstrap,JavaScript,103092,15,20,795,376,40,46522,MIT License,2011-07-29T21:19:00Z,2016-11-03T04:01:51Z,2016-11-03T19:48:01Z
vhf,free-programming-books,,69251,4,3,790,55,0,16839,Other,2013-10-11T06:50:37Z,2016-11-02T11:40:56Z,2016-11-03T18:54:01Z
d3,d3,JavaScript,56461,4,34,116,86,206,15144,"BSD 3-clause ""New"" or ""Revised"" License",2010-09-27T17:22:42Z,2016-11-02T22:32:08Z,2016-11-03T18:35:41Z
facebook,react,JavaScript,53155,7,32,844,593,52,9378,"BSD 3-clause ""New"" or ""Revised"" License",2013-05-24T16:15:54Z,2016-11-03T18:42:09Z,2016-11-03T20:03:30Z
angular,angular.js,JavaScript,53111,8,15,1,855,178,26240,MIT License,2010-01-06T00:34:37Z,2016-11-03T14:42:33Z,2016-11-03T20:03:18Z
FortAwesome,Font-Awesome,HTML,46113,1,10,76,3775,24,7955,None,2012-02-17T14:19:43Z,2016-11-03T15:08:58Z,2016-11-03T18:54:41Z
sindresorhus,awesome,,45814,584,1,252,30,0,5478,None,2014-07-11T13:42:37Z,2016-11-03T18:57:50Z,2016-11-03T19:25:42Z
robbyrussell,oh-my-zsh,Shell,44640,4,1,1,809,0,11093,MIT License,2009-08-28T18:15:37Z,2016-11-03T13:11:29Z,2016-11-03T18:46:15Z
getify,You-Dont-Know-JS,JavaScript,44325,1,1,143,90,0,6451,Other,2013-11-16T02:37:24Z,2016-11-02T22:07:15Z,2016-11-03T19:50:58Z
airbnb,javascript,JavaScript,42779,1,3,277,69,56,8128,None,2012-11-01T23:13:50Z,2016-11-03T09:28:37Z,2016-11-03T18:48:56Z
github,gitignore,,42707,2,5,775,181,0,17173,Creative Commons Zero v1.0 Universal,2010-11-08T20:17:14Z,2016-11-03T13:47:58Z,2016-11-03T19:07:18Z
jquery,jquery,JavaScript,42106,6,4,255,72,144,11589,Other,2009-04-03T15:20:14Z,2016-11-02T23:52:45Z,2016-11-03T19:04:07Z
facebook,react-native,Java,39872,8,46,16,954,131,8973,"BSD 3-clause ""New"" or ""Revised"" License",2015-01-09T18:10:16Z,2016-11-03T17:58:44Z,2016-11-03T19:14:53Z
torvalds,linux,C,38568,634,1,16,127,485,14811,GNU General Public License v2.0,2011-09-04T22:48:12Z,2016-11-03T15:22:08Z,2016-11-03T19:05:06Z
electron,electron,C++,37586,11,14,492,374,254,4343,MIT License,2013-04-12T01:47:36Z,2016-11-03T19:58:43Z,2016-11-03T19:09:38Z
nodejs,node-v0.x-archive,,36900,1,143,1,607,263,8306,None,2009-05-27T16:29:46Z,2016-08-03T14:11:58Z,2016-11-03T18:28:39Z
daneden,animate.css,CSS,36604,367,4,69,62,22,8257,MIT License,2011-10-12T10:07:38Z,2016-10-30T17:17:15Z,2016-11-03T19:23:00Z
docker,docker,Go,36554,28,3,1,1885,169,10784,Other,2013-01-18T18:10:57Z,2016-11-03T20:03:15Z,2016-11-03T18:57:31Z
tensorflow,tensorflow,C++,36082,10,14,481,598,14,16185,Apache License 2.0,2015-11-07T01:19:20Z,2016-11-03T19:51:33Z,2016-11-03T19:42:09Z
meteor,meteor,JavaScript,35774,17,527,318,991,794,4428,Other,2012-01-19T01:58:17Z,2016-11-03T17:57:49Z,2016-11-03T16:25:22Z
h5bp,html5-boilerplate,JavaScript,35686,1,41,207,21,28,8871,MIT License,2010-01-24T18:03:24Z,2016-10-30T03:29:02Z,2016-11-03T19:04:06Z
apple,swift,C++,34988,43,33,415,115,99,5028,Apache License 2.0,2015-10-23T21:15:07Z,2016-11-03T19:18:26Z,2016-11-03T18:48:51Z
rails,rails,Ruby,33255,60,30,3,1219,304,13559,MIT License,2008-04-11T02:19:47Z,2016-11-03T19:26:29Z,2016-11-03T18:10:57Z
vuejs,vue,JavaScript,32538,1,10,45,47,173,3701,MIT License,2013-07-29T03:24:51Z,2016-11-03T18:17:32Z,2016-11-03T19:40:30Z
atom,atom,CoffeeScript,32092,30,73,328,1861,344,5559,MIT License,2012-01-20T18:18:21Z,2016-11-03T18:59:12Z,2016-11-03T19:18:04Z
hakimel,reveal.js,JavaScript,31099,1,6,175,313,19,9435,MIT License,2011-06-07T18:54:22Z,2016-10-30T18:11:10Z,2016-11-03T19:41:25Z
impress,impress.js,JavaScript,30114,281,4,50,55,10,6439,MIT License,2011-12-28T22:23:19Z,2016-11-02T12:36:31Z,2016-11-03T16:57:01Z
nwjs,nw.js,C++,29798,2,36,74,1442,92,3363,Other,2012-01-04T06:21:10Z,2016-11-03T11:23:47Z,2016-11-03T18:34:50Z
Homebrew,legacy-homebrew,Ruby,29492,63,1,5,1,0,14013,"BSD 2-clause ""Simplified"" License",2009-05-20T19:38:37Z,2016-10-17T20:39:56Z,2016-11-03T18:55:02Z
Semantic-Org,Semantic-UI,JavaScript,29130,6,14,161,926,145,3323,MIT License,2013-04-08T23:32:04Z,2016-11-03T13:36:13Z,2016-11-03T19:59:12Z
jlevy,the-art-of-command-line,,28792,1,1,133,88,0,2703,None,2015-05-20T15:11:03Z,2016-11-01T18:27:40Z,2016-11-03T16:05:40Z
